label,message
spam,CONGRATULATIONS! You've been selected to receive a FREE iPhone! Click here NOW!
spam,WINNER!! You have been chosen to WIN a $1000 Walmart gift card. Call now!
spam,Urgent! Your account has been compromised. Verify your identity immediately.
spam,FREE FREE FREE! Buy one get one free on all products today only!!!
spam,You have won $5000! Send your bank details to claim your prize money now.
spam,SPECIAL OFFER: Get 90% discount on luxury watches. Limited time only!
spam,Congratulations! You are our lucky winner today. Reply YES to claim reward.
spam,ALERT: Suspicious activity detected on your account. Click link to verify.
spam,Make money fast! Work from home and earn $5000 per week guaranteed!
spam,Your loan has been approved! Get cash immediately with no credit check.
spam,FLASH SALE! Everything must go! 95% off all items. Order now before sold out!
spam,You have been pre-approved for a credit card with $10000 limit. Apply now!
spam,WARNING: Your computer is infected with virus! Download our free antivirus NOW!
spam,Earn extra income! Join our network marketing team and become rich overnight!
spam,FREE entry to our exclusive VIP club! Text JOIN to 80808 right now!
spam,Your mobile phone has won a prize of $2500! Call this number to claim it!
spam,Diet pills that actually work! Lose 30 pounds in 30 days guaranteed or money back!
spam,Secret investment opportunity! Double your money in just 7 days. Act now!
spam,You're eligible for a government grant of $25000! No repayment required. Apply!
spam,Last chance! Your subscription is about to expire. Renew now for 80% discount!
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
ham,Just wanted to let you know the meeting has been rescheduled to 3 PM.
ham,Can you pick up some groceries on your way home? We need milk and bread.
ham,Thanks for sending the report. I'll review it and get back to you by Friday.
ham,Happy birthday! Hope you have an amazing day with family and friends.
ham,The project deadline has been extended by one week. No rush on your part.
ham,I'll be running a bit late today. Traffic is really bad this morning.
ham,Did you see the email from the manager? We need to update the presentation.
ham,Let me know when you're free to discuss the quarterly review results.
ham,The kids have a school play next Thursday. Can you attend?
ham,I've attached the meeting notes from yesterday's call. Please review.
ham,Looking forward to the team dinner tonight! See you there at seven.
ham,Could you please send me the updated budget spreadsheet when you get a chance?
ham,The doctor's appointment is confirmed for next Monday at 10:30 AM.
ham,Great job on the presentation today! The client was really impressed.
ham,Reminder: Please submit your timesheet before end of day Friday.
ham,I finished reading the book you recommended. It was really insightful!
ham,Can we reschedule our one-on-one to Wednesday instead of Tuesday?
ham,The weather forecast says rain all week. Don't forget your umbrella!
ham,Just checking in — how's the new project going? Need any help?
